4,high
2.13,low
4.377,high
2.128,low
2.002,low
4.647,high
2.346,medium
2.532,medium
2.076,low
2.038,low
1.965,low
1.89,low
4.238,high
2.413,medium
2.433,medium
2.467,medium
4.122,high
2.367,medium
2.233,medium
2.56,medium
1.941,low
1.908,low
2.327,medium
2.32,medium
2.622,medium
1.872,low
2.368,medium
1.966,low
4.12,high
2.345,medium
1.931,low
1.928,low
2.449,medium
2.462,medium
1.893,low
2.07,low
2.512,medium
4.352,high
2.412,medium
4.542,high
2.534,medium
1.885,low
2.1,low
2.795,medium
2.012,low
1.872,low
2.44,medium
1.821,low
1.942,low
2.004,low
1.939,low
2.348,low
4.555,high
4.554,high
2.024,low
2.058,low
4.43,high
2.091,low
2.297,medium
4.163,high
4.503,high
4.537,high
2.415,medium
2.296,medium
4.079,high
2.217,low
1.812,low
1.863,low
2.638,medium
1.841,low
1.868,low
2.364,medium
2.662,medium
2.313,low
2.001,low
2.034,low
2.381,medium
2.449,medium
1.964,low
2.532,low
1.871,low
2.218,low
2.188,medium
1.869,low
4.226,high
1.908,low
3.98,high
4.256,high
2.364,medium
4.232,high
2.709,medium
2.733,medium
2.258,medium
2.11,low
2.266,medium
2.263,medium
4.273,high
2.225,medium
1.869,low
2.118,low
2.732,medium
2.254,medium
2.255,low
1.875,low
2.352,medium
4.187,high
1.975,low
1.934,low
2.523,medium
2.267,medium
1.81,low
1.877,low
1.93,low
1.935,low
2.709,medium
1.837,low
2.075,low
4.428,high
1.92,low
1.918,low
2.589,medium
1.981,low
2.4,medium
2.369,low
2.604,medium
1.822,low
2.561,medium
4.302,high
2.65,medium
2.23,medium
2.175,low
2.199,medium
1.839,low
2.113,low
2.591,medium
2.219,low
4.377,high
4.252,high
4.097,high
4.05,high
2.063,low
2.301,medium
2.405,medium
1.832,low
2.226,low
2.176,medium
2.38,medium
2.277,low
2.25,medium
2.334,low
4.043,high
4.095,high
1.997,low
2.124,low
2.256,low
2.247,medium
2.247,low
2.406,medium
2.225,medium
4.118,high
1.931,low
2.441,medium
4.188,high
1.833,low
2.172,medium
1.966,low
4.038,high
4.25,high
1.979,low
2.242,low
2.319,medium
4.237,high
4.558,high
2.023,low
2.652,medium
2.34,medium
2.501,medium
1.861,low
2.376,low
2.185,low
2.268,medium
2.424,low
2.409,medium
4.102,high
2.57,medium
4.421,high
2.399,low
2.41,medium
1.938,low
2.893,medium
4.285,high
2.32,medium
2.458,medium
2.095,low
1.852,low
2.225,low
1.854,low
4.528,high
1.984,low
2.413,medium
2.104,low
1.871,low
1.896,low
2.199,medium
2.558,medium
1.881,low
2.418,medium
2.152,low
2.328,medium
2.581,medium
2.246,medium
2.45,medium
2.015,low
1.839,low
1.959,low
1.951,low
2.328,medium
2.241,medium
4.035,high
6.183,low
5.035,high
2.657,medium
2.228,medium
1.883,low
4.16,high
2.168,medium
2.16,low
4.091,high
2.809,medium
1.957,low
4.119,high
4.233,high
2.352,medium
2.311,medium
2.429,medium
2.072,low
2.489,medium
2.292,medium
4.3,high
2.069,low
1.942,low
4.794,high
4.313,high
1.804,low
4.088,high
1.834,low
2.345,medium
4.523,high
1.906,low
4.092,high
1.955,low
1.984,low
1.967,low
2.362,medium
2.501,medium
1.887,low
2.307,medium
2.159,low
4.194,high
1.995,low
4.096,high
2.388,medium
1.984,low
2.172,low
1.922,low
4.141,high
1.936,low
2.096,low
1.835,low
2.077,low
4.654,high
4.193,high
2.249,medium
1.896,low
2.372,medium
2.519,medium
2.382,medium
2.663,medium
4.141,high
